product_id,product_name,category,sub_category,brand,price
P068,T5 II Sport,Audio,Earbuds,Klipsch,179
P069,Shield TV Pro,Entertainment,Streaming,NVIDIA,199
P070,Apple TV 4K,Entertainment,Streaming,Apple,129
P071,Chromecast 4K,Entertainment,Streaming,Google,49
P072,Fire TV Stick 4K,Entertainment,Streaming,Amazon,49
P073,Arc Soundbar,Audio,Speakers,Sonos,899
P074,AeroPress Go,Home,Appliances,AeroPress,40
P075,Cosori Air Fryer,Home,Appliances,Cosori,119
P076,Ember Mug 2,Home,Appliances,Ember,129
P077,Blue Pure 411,Home,Appliances,Blueair,139
P078,Keychron Q1,Computing,Accessories,Keychron,169
P079,Stream Deck MK.2,Computing,Accessories,Elgato,149
P080,C920s Pro HD,Computing,Accessories,Logitech,69
P081,Yeti USB Mic,Audio,Microphones,Blue,129
P082,Cloud III,Entertainment,Gaming,HyperX,99
P083,Stealth Pro,Entertainment,Gaming,Turtle Beach,329
P084,T300 RS GT,Entertainment,Gaming,Thrustmaster,449
P085,Quest 3 128GB,Entertainment,VR,Meta,499
P086,Vive Pro 2,Entertainment,VR,HTC,799
P087,ProArt PA278CV,Computing,Monitors,ASUS,399
P088,Odyssey Neo G9,Computing,Monitors,Samsung,1799
P089,990 PRO 2TB,Computing,Storage,Samsung,189
P090,IronWolf 8TB,Computing,Storage,Seagate,199
P091,H7 Elite Case,Computing,Components,NZXT,179
P092,RM850x PSU,Computing,Components,Corsair,129
P093,Kraken 240 AIO,Computing,Components,NZXT,139
P094,Vengeance 32GB RAM,Computing,Components,Corsair,115
P095,Surface Laptop 5,Computing,Laptops,Microsoft,1299
P096,Zenfone 10,Mobile,Smartphones,ASUS,699
